Number of frames: 1500
Frequency: 500
Units: mm

Frame,finger x,finger y,finger z,thumb x,thumb y,thumb z
119,600.866455078,-209.112548828,145.406875610,617.420654297,-214.747924805,137.013397217,
120,600.866210938,-209.111236572,145.408294678,617.424438477,-214.746414185,137.014602661,
121,600.880126953,-209.107391357,145.409637451,617.422546387,-214.743301392,137.014999390,
122,600.864624023,-209.110260010,145.409255981,617.417602539,-214.744522095,137.014328003,
123,600.868835449,-209.109649658,145.414611816,617.403747559,-214.747009277,137.014083862,
124,600.857238770,-209.107269287,145.411514282,617.401489258,-214.745269775,137.014404297,
125,600.840148926,-209.109344482,145.412002563,617.401000977,-214.743392944,137.012863159,
126,600.851684570,-209.105789185,145.413650513,617.393249512,-214.743881226,137.010482788,
127,600.851623535,-209.106292725,145.411712646,617.381530762,-214.745559692,137.009658813,
128,600.842224121,-209.107604980,145.408843994,617.367614746,-214.746368408,137.009704590,
129,600.840515137,-209.106063843,145.410095215,617.362426758,-214.746719360,137.006027222,
130,600.837219238,-209.104995728,145.408233643,617.361389160,-214.747055054,137.005157471,
131,600.825805664,-209.104919434,145.403350830,617.366699219,-214.746902466,137.008728027,
132,600.816284180,-209.105621338,145.405639648,617.360595703,-214.746963501,137.005294800,
133,600.806823730,-209.106506348,145.407562256,617.341491699,-214.747146606,137.003295898,
134,600.792480469,-209.105957031,145.400604248,617.341308594,-214.745513916,137.002670288,
135,600.793395996,-209.107086182,145.397064209,617.333068848,-214.745391846,136.997375488,
136,600.787170410,-209.105255127,145.395904541,617.326293945,-214.747436523,136.996383667,
137,600.794494629,-209.101943970,145.395782471,617.320495605,-214.748626709,136.994873047,
138,600.783447266,-209.104415894,145.396987915,617.295471191,-214.750457764,136.991134644,
139,600.782287598,-209.102981567,145.393661499,617.286926270,-214.749664307,136.990249634,
140,600.771728516,-209.103622437,145.391006470,617.287170410,-214.750381470,136.988143921,
141,600.753173828,-209.103958130,145.388809204,617.266845703,-214.753250122,136.986053467,
142,600.743896484,-209.104400635,145.390899658,617.250976563,-214.751876831,136.986511230,
143,600.737365723,-209.103057861,145.391372681,617.245788574,-214.753326416,136.984863281,
144,600.712768555,-209.105621338,145.392166138,617.241455078,-214.756561279,136.983505249,
145,600.708496094,-209.102981567,145.398056030,617.231445313,-214.755386353,136.987915039,
146,600.712646484,-209.102478027,145.404418945,617.207824707,-214.757507324,136.989379883,
147,600.685729980,-209.106445313,145.407409668,617.186401367,-214.758911133,136.993469238,
148,600.675170898,-209.105102539,145.417694092,617.181091309,-214.756896973,136.999450684,
149,600.667114258,-209.101425171,145.424972534,617.157653809,-214.760772705,137.002899170,
150,600.657104492,-209.101928711,145.435867310,617.133300781,-214.762557983,137.011947632,
151,600.647094727,-209.103042603,145.448013306,617.118591309,-214.763366699,137.021499634,
152,600.630798340,-209.103820801,145.459365845,617.106140137,-214.766616821,137.032546997,
153,600.619689941,-209.100784302,145.474777222,617.100830078,-214.766326904,137.043884277,
154,600.611328125,-209.099914551,145.490325928,617.071350098,-214.768203735,137.056182861,
155,600.593322754,-209.100143433,145.512619019,617.047729492,-214.770309448,137.067520142,
